0;1;2;3;4;5;6;7;8
Dub;Vocal;Digital;Electrodub;Dubstep;;;;
Techno;Tribe;;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Instru;Digital;Electrodub;Mélodique;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Stepper;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Electrodub;Dubadub;;;;
Dub;Digital;Vocal;Steppa;Electrodub;;;;
Dub;Vocal;Dancehall;Digital;;;;;
Dub;Instru;Digital;Heavy;;;;;
Dub;Steppa;Digital;Electrodub;Instru;;;;
Dub;Vocal;Digital;OS;Steppa;;;;
Vocal;Digital;Dub;;;;;;
Dub;Steppa;Instru;Digital;Heavy;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;Heavy;;;;
Dub;Digital;Electrodub;Future;Instru;;;;
Dub;Instru;Digital;Electrodub;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Digital;Melodic;;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Instru;Digital;;;;;;
Dub;Dubadub;Vocal;Digital;;;;;
Dub;Dubadub;Digital;Vocal;;;;;
Dub;Instru;Digital;Steppa;Dirty;;;;
Dub;Instru;Steppa;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Steppa;Uptempo;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Vocal;Digital;Electrodub;Steppa;Uptempo;;;
Dub;Instru;Digital;Progressive;Melodic;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Vocal;FR;;;;;;
Dub;Vocal;Digital;Reggae;;;;;
Dub;Vocal;Reggae;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;Steppa;Heavy;Digital;Electrodub;;;
Dub;Insru;Digital;Steppa;;;;;
Dub;Vocal;FR;Steppa;Digital;;;;
Dub;Vocal;;;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;Digital;Electrodub;Dubstep;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Steppa;Digital;Dubtek;Heavy;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Steppa;Heavy;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Vocal;Digital;Steppa;Heavy;;;;
Dub;Steppa;Digital;Vocal;;;;;
Dub;Vocal;Digital;Dubadub;Sample;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Chill;Mélodique;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;OS;;;;;;
Dub;Vocal;Digital;Steppa;Electrodub;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;FR;Digital;ElectroDub;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Steppa;Digital;;;;;
Dub;Steppa Instru;;;;;;;
Dub;Vocal;Digital;ElectroDub;;;;;
Dub;Vocal;FR;Steppa;Digital;Electrodub;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;OS;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Dubadub;Digital;;;;;
Dub;Digital;Electrodub;Instru;;;;;
Dub;Vocal;Sample;Digital;Steppa;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Steppa;Digital;;;;;
Dub;Vocal;Dubadub;Digital;;;;;
Dub;Instru;Melodic;Digital;;;;;
Dub;Steppa;Vocal;FR;Digital;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Reggae;;;;;
